Name,Effect,Location,Price,Attribute,Description
Battle Boots,"Move +1","Outfitters: 1st battle Merchant City of Dorter (Chapter 1)",1000,,"Battle boots made from layers of leather."
Spiked Boots,"Jump +1","Outfitters: 2nd battle Merchant City of Dorter (Chapter 2), Rare Treasure: Araguay Woods",1200,,"The spikes along the bottoms of these boots improve the wearer's footing, allowing him or her to jump farther."
Rubber Boots,,"Outfitters: Cardinal Delacroix meeting at Lionel Castle, Rare Treasure: Lionel Castle",1500,"Immune: Immobilize, Negates: Lightning","These resin boots conform perfect to the shape of the wearer's feet, negating lightning-based magick damage."
Winged Boots,,"Outfitters: Defeat Cúchulainn at Lionel Castle, Rare Treasure: Monastery Vaults (First Level)",2500,"Equip: Float","Lightweight boots decorated with fluffy feathers."
Germinas Boots,"Move +1, Jump +1","Outfitters: Royal City of Lesalia",5000,,"Boots that fit the feet perfectly, increasing the wearer's mobility."
Hermes Shoes,"Speed +1","Outfitters: Walled City of Yardrow, Rare Treasure: Limberry Castle (Gate)",7000,,"Expensive shoes made by a famous cobbler."
Red Shoes,"Magick Attack +1, Move +1","Outfitters: Battle of Fort Besselat",10000,,"Shoes that have been dyed a deep crimson."
Gaius Caligae,"Move +2","Mode: Rendezvous",,,"Military sandals bearing the name of an ancient emperor."
Power Gauntlet,"Physical Attack +1","Outfitters: Zeirchele Falls",5000,,"A sturdy glove that increases weapon attack power."
Magepower Glove,"Magick Attack +1","Outfitters: Defeat Cúchulainn at Lionel Castle",20000,,"A glove that boosts the wearer's magickal attack power."
Bracer,"Physical Attack +3","Outfitters: Walled City of Yardrow, Rare Treasure: Limberry Castle (Gate)",50000,,"A thin leather bracer."
Genji Glove,"Physical Attack +2, Magick Attack +2","Steal: Elmdore, Mode: Rendezvous",,,"A vermillion glove made by a foreign craftsman."
Brigand's Gloves,"Speed +1","Mode: Rendezvous",30000,"Equip: Haste","Gloves that increase the wearer's mobility."
Onion Gloves,,"Mode: Melee",,"Onion Knight only, Immune: KO, Undead, Stone, Traitor, Blind, Confuse, Silence, Vampire, Berserk, Toad, Poison, Slow, Stop, Charm, Sleep, Immobilize, Disable, Doom","Gloves forged for swordsmen who have mastered every technique and achieved knighthood's most exalted rank."
Protect Ring,,"Various Outfitters, Rare Treasure: Lionel Castle",5000,"Immune: Sleep, Doom","A ring forged from a metal imbued with magick."
Magick Ring,,"Various Outfitters",10000,"Immune: Silence, Berserk","A ring inlaid with a magickal gemstone."
Reflect Ring,,"Various Outfitters",10000,"Equip: Reflect","A ring engraved with arcane symbols that can reflect magick cast upon the wearer."
Angel Ring,,"Rare Treasure: Fort Besselat (North Wall)",,"Immune: Blind, Equip: Reraise","A ring that bestows an angel's aegis upon its owner."
Cursed Ring,"Physical Attack +1, Magick Attack +1, Speed +1","Treasure: Midlight's Deep",,"Equip: Undead, Immune: Traitor","A ring forged from metal inhabited by spirits."
Sage's Ring,,"Mode: Rendezvous",,"Boosts: All Elements, Absorbs: All Elements","A ring bearing a magickal jewel."
Diamond Bracelet,"Physical Attack +1, Magick Attack +1","Outfitters: Balias Swale",5000,"Immune: Slow","A bracelet embedded with shining magickal jewels."
Guardian Bracelet,,"Outfitters: Cardinal Delacroix meeting at Lionel Castle, Rare Treasure: Lionel Castle",7000,"Immune: Immobilize, Disable","A bracelet embedded with deep crimson jewels."
Nu Khai Armband,,"Outfitters: Defeat Cúchulainn at Lionel Castle, Rare Treasure: Monastery Vaults (First Level)",10000,"Immune: Confuse, Charm. Halves: Dark","An armband worn during a ceremony to worship gods of darkness."
Jade Armlet,,"Outfitters: Royal City of Lesalia",10000,"Immune: Stone, Stop","A bracelet embedded with well-polished green jewels."
Japa Mala,,"Outfitters: Orbonne Monastery, Rare Treasure: Zeltennia Castle",15000,"Immune: Undead, Vampire, Toad, Poison. Boosts: All Elements","A string of prayer beads made from 108 fruits of the sacred fig tree."
