Name,Atk,Def,Mag,Location,Price,Attribute,Description
Battle Axe,9,0,0,"Outfitters: Lenalian Plateau (Chapter 1), Poach: Wisenkin, Treasure: Fovoham Windflats (rare)",1500,,"A battle axe with a long handle. Designed for two-handed use, it can easily chop off an enemy's limbs."
Giant Axe,12,0,0,"Outfitters: Cardinal Delacroix meeting at Lionel Castle (Chapter 2), Poach: Wisenkin",4000,,"An axe with a large head. Much bigger than the traditional woodman's axe, hence its name."
Slasher,16,0,0,"Outfitters: Royal City of Lesalia (Chapter 3), Poach: Minotaur, Catch: Level 90+ Ninja",12000,"Effect: Slow","This axe not only has impressive destructive power, but can also slow the actions of its target."
Francisca,24,0,0,"Mode: Melee",,,"This axe's small size belies its incredible destructive power."
Golden Axe,30,0,0,"Mode: Melee/Rendezvous",,,"An axe said to have been a gift from spirits inhabiting a spring. Only the righteous may wield it."
Croakadile Bag,10,0,1,"Outfitters: Defeat Cúchulainn at Lionel Castle (Chapter 3), Poach: Vampire Cat, Treasure: Monastery Vaults (Second Level)",53000,"Females only","An expensive designer handbag made of croakadile skin."
Pantherskin Bag,12,0,0,"Outfitters: Orbonne Monastery (Chapter 3), Poach: Behemoth, Treasure: Finnath Creek (rare)",52000,"Equip: Regen. Females only","The design of this handbag is simple, yet fashionable."
Hydrascale Bag,14,0,0,"Outfitters: Battle of Fort Besselat (Chapter 4), Poach: Dragon, Treasure: Limberry Castle Undercroft (rare)",58000,"Speed +1, Females only","A handbag studded with scales from a hydra."
Fallingstar Bag,20,0,0,"Poach: Wild Boar, Mode: Rendezvous",60000,"Females only","A custom-made handbag designed for battle."
Battle Folio,7,15,0,"Outfitters: Cardinal Delacroix meeting at Lionel Castle (Chapter 2), Treasure: Clockwork City of Goug (rare)",3000,,"A book made for battle."
Bestiary,8,15,0,"Outfitters: Royal City of Lesalia (Chapter 3)",6000,,"A thick book describing various beasts."
Papyrus Codex,9,15,0,"Outfitters: Orbonne Monastery (Chapter 3), Treasure: Free City of Bervenia (rare), Catch: Level 90-94 Ninja",10000,,"An ancient text bound in stone."
Omnilex,11,15,0,"Poach: Greater Malboro, Mode: Rendezvous, Catch: Level 95+ Ninjas",30000,,"A book said to contain all words in all languages."
Longbow,4,0,0,"Outfitters: Dycedarg meeting at Eagrose Castle (Chapter 1), Treasure: Brigands' Den (rare)",800,,"The most common type of bow. It has a long range and is quite durable."
Silver Bow,5,0,0,"Outfitters: Lenalian Plateau (Chapter 1), Treasure: Fovoham Windflats (rare)",1500,,"A bow adorned with silver decorations. Thin metal plates help strengthen its wooden frame."
Ice Bow,5,0,0,"Outfitters: Second battle Merchant City of Dorter (Chapter 2), Treasure: Merchant City of Dorter (rare)",2000,"Element: Ice","A bow that shoots freezing arrows."
Lightning Bow,6,0,0,"Outfitters: Cardinal Delacroix meeting at Lionel Castle (Chapter 2), Treasure: Clockwork City of Goug (rare)",3000,"Spell Effect: Thundara, Element: Thunder","This bow imbues arrows with the power and speed of lightning."
Mythril Bow,7,0,0,"Outfitters: Defeat Cúchulainn at Lionel Castle (Chapter 3), Treasure: Mining Town of Gollund (rare) and Monastery Vaults Second Level (rare)",5000,,"A bow strengthened by thin plates of mythril."
Windslash Bow,8,0,0,"Outfitters: Orbonne Monastery (Chapter 3), Poach: Treant, Treasure: Dugeura Pass (rare)",8000,"Element: Wind","Arrows shot by this bow fly at extremely high speeds. The vacuum created by their flight increases their damage."
Artemis Bow,10,0,0,"Mode: Melee/Rendezvous, Poach: Behemoth King, Random Archers (Chapter 4)",22000,,"The bow of the goddess of the hunt."
Yoichi Bow,12,0,0,"Treasure: Midlight's Deep, Mode: Rendezvous",,,"The bow of a legendary archer. Its unusual size gives it incredible power."
Perseus Bow,16,0,0,"Treasure: Midlight's Deep, Mode: Rendezvous",,,"The bow of a mythical hero. It is constructed entirely of metal and requires great strength to pull back."
Sagittarius Bow,24,0,0,"Mode: Rendezvous",,,"An enormous bow that fires meteor-like arrows."
Damask Cloth,8,50,0,"Outfitters: Royal City of Lesalia (Chapter 3)",7000,,"This cloth is thick and brilliantly colored, making it perfect for use in carpets."
Cashmere,10,50,0,"Outfitters: Walled City of Yardrow (Chapter 3), Treasure: Lake Poescas (rare)",15000,,"This warm and flexible woolen fabric is exquisitely soft to the touch."
Wyrmweave Silk,15,50,0,"Poach: Tiamat, Mode: Rendezvous",40000,,"A special process has been used to make this thin, smooth silk exceptionally durable."
